  SP74632","Las desagregaciones del INPC solo tienen valor informativo.
  SP74633","Las desagregaciones del INPC solo tienen valor informativo.
  SP66536","Las desagregaciones del INPC solo tienen valor informativo.
  SP74634","Las desagregaciones del INPC solo tienen valor informativo.
  SP74635","Las desagregaciones del INPC solo tienen valor informativo.
  SP66538","Las desagregaciones del INPC solo tienen valor informativo.
  SP56384","Las desagregaciones del INPC solo tienen valor informativo.
  SP74636","Las desagregaciones del INPC solo tienen valor informativo.
  SP74637","Las desagregaciones del INPC solo tienen valor informativo.
  SP56378","Las desagregaciones del INPC solo tienen valor informativo.
  SP56379","Las desagregaciones del INPC solo tienen valor informativo.
  SP56380","Las desagregaciones del INPC solo tienen valor informativo.
  SP74638","Las desagregaciones del INPC solo tienen valor informativo.
  SP56382","Las desagregaciones del INPC solo tienen valor informativo.
  SP74639"
"1Q Ago 2000","46.615878216832","50.810909369179","49.841445913339","39.091692565775","60.046966573819","51.145248080381","56.961843648413","32.845566950631","52.273257879474","35.261842652460","36.497060366113","36.978095312258","36.158581897609","34.254622081732","30.921502411080","41.075652087647"
"2Q Ago 2000","46.823692346224","50.904027579343","49.911870441096","39.142359167313","60.137322308047","51.264528735010","57.043335759668","32.999113502001","52.414804393305","35.686531632631","37.391162200182","39.503241740465","36.013515339132","34.305202827452","30.917713588845","41.219187366209"
"1Q Sep 2000","47.034233517038","51.189888842478","49.997597215555","39.261939595002","60.177464236185","51.790069271883","57.107106229360","36.364886516494","52.452202947853","35.732637427914","37.023435410934","38.610042773051","35.980646872471","34.680840363403","31.498198925549","41.265001259593"
"2Q Sep 2000","47.087909711713","51.308528381604","50.100643665890","39.309428109157","60.341817943177","51.925771156096","57.236337185634","36.427903560960","52.616993543729","35.652854971272","36.808975836441","38.105231258635","35.951224676521","34.708363533965","31.511696604759","41.317025057942"
"1Q Oct 2000","47.295149836186","51.457219663032","50.160549592639","39.386428417666","60.377785172000","52.180425110440","57.361341295699","36.427903560960","53.062744784271","35.964406489942","36.918534170764","38.604649433543","35.812488155622","35.180567775464","32.267079242237","41.331590288686"
"2Q Oct 2000","47.475121618660","51.577105386011","50.289892851831","39.470669638896","60.554366536761","52.286753473264","57.481999824598","36.427903560960","53.190767093063","36.253054363100","37.494410415728","40.120819662804","35.789232504581","35.240283874671","32.315082652644","41.413090291788"
"1Q Nov 2000","47.732162886547","51.771018650288","50.453611217878","39.595375215301","60.756073533616","52.514305917688","57.618897813148","36.427903560960","53.567697461707","36.620428623619","37.172045766737","39.068535259879","35.931844422826","36.156698081393","33.792612159141","41.422003431162"
"2Q Nov 2000","47.848556371432","51.918286008712","50.612127148087","39.654027878374","61.026266444804","52.645370226042","57.713271015334","36.427903560960","53.771626744730","36.667647080743","37.260980131071","39.236364734290","35.970472916154","36.170663862613","33.806159691276","41.437173449039"
"1Q Dic 2000","48.192856748162","52.091192187156","50.731745741354","39.726051747312","61.196668665980","52.880474218526","57.882052512070","36.427903560960","54.137865564209","37.333701856208","38.394706373624","41.747172474879","36.226500704584","36.463836095271","34.251978317108","41.485048766873"
"2Q Dic 2000","48.422485654764","52.182187612841","50.795949932896","39.786403580464","61.261962779323","53.002672675025","58.014046265572","36.427903560960","54.290659052940","37.826406464252","39.360032966812","43.762330182237","36.522616350513","36.579831428846","34.375401694048","41.592772794767"
"1Q Ene 2001","48.559689408251","52.425807691683","51.059187431314","40.084570360548","61.468483803422","53.218255759213","58.320630827891","36.572906814733","54.452540567262","37.741856104234","38.847763241176","42.056411422102","36.770716820283","36.835958982034","34.691386408715","41.757798361685"
"2Q Ene 2001","48.591263305200","52.622638546710","51.249595621941","40.308367348816","61.608068482016","53.419639664386","58.503514248493","36.843763770371","54.649460980377","37.440411025160","37.949432789991","39.720416899114","36.788445850968","37.010054758338","34.776684761918","42.087005499889"
"1Q Feb 2001","48.527540988326","52.841114350849","51.474338167656","40.506982842620","61.851875633576","53.626806626017","58.703097810927","36.913665453988","54.907272335641","36.814946728518","36.188677993864","35.488455661261","36.602500626980","37.289115516039","35.093617466270","42.312641297307"
"2Q Feb 2001","48.559115403331","52.999579338130","51.608748720694","40.670911193775","61.943234311050","53.812003226817","58.892613529992","36.919269407859","55.146025275692","36.590351497549","35.622930852644","33.988940649339","36.631721688650","37.336352222699","35.078237839172","42.466534954477"
"1Q Mar 2001","48.723873983222","53.171051174249","51.724196432291","40.803106832635","62.032084194237","54.049039497968","59.028445240359","36.919269407859","55.544411587239","36.731479668877","35.690527539227","33.938694522332","36.774281432109","37.535944232976","35.275183342700","42.677754191745"
"2Q Mar 2001","48.977757705998","53.303234328982","51.854190412913","40.922996806853","62.167064289055","54.181685845928","59.206354974197","36.919269407859","55.680882221934","37.212966263631","37.144109157995","37.271562331908","37.030161431409","37.242965317307","34.747004074667","42.768452837451"
"1Q Abr 2001","49.050665137691","53.444612575482","51.978047919611","41.079508443803","62.244671401438","54.342100708262","59.347240950773","36.919269407859","55.908943649583","37.144085671397","37.020591876498","36.408792429972","37.377386711355","37.217641539862","34.635953173646","42.885909063805"
"2Q Abr 2001","49.143808315012","53.542581699905","52.074790619110","41.225267161569","62.276929553377","54.439929295946","59.451074994708","36.923418983229","56.031532837338","37.221714845648","37.309882711963","36.661371707390","37.689793869072","37.126658593081","34.409620898050","43.018515212989"
"1Q May 2001","49.155433468794","53.642987567165","52.150618436166","41.333279271436","62.309734575565","54.568677436735","59.580535797773","36.952022117197","56.191768324219","37.054758937569","37.306290834616","36.290377756676","37.920105872836","36.829716430735","33.543459309897","43.664977377554"
"2Q May 2001","49.264507354847","53.730076022094","52.215209780485","41.396972823278","62.371830484808","54.681789078631","59.685720713938","37.117687170411","56.296070844079","37.201057890982","37.830251242109","37.467320637446","38.027892558948","36.675160715620","33.274253519541","43.697024975100"
"1Q Jun 2001","49.317178522857","53.821239377196","52.315564656717","41.485484971130","62.480910805180","54.760200404510","59.779050960473","37.125006217789","56.384510499535","37.172980184345","37.631003548109","36.954813368270","38.028252590969","36.783415835773","33.413339280811","43.757503402573"
